ID,SMILES
DB00787,Nc1nc(=O)c2ncn(COCCO)c2[nH]1
DB08840,CNC(=O)c1cccnc1
DB11817,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1
DB04574,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O
DB01004,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1
DB08837,CC[N+](CC)(CC)CC
DB00501,CN/C(=N/C#N)NCCSCc1nc[nH]c1C
DB00331,CN(C)C(=N)NC(=N)N
DB00536,N=C(N)N
DB01035,CCN(CC)CCNC(=O)c1ccc(N)cc1
DB01030,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
DB12377,O=C(NC1CCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O
DB01203,CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2
DB00440,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
DB00391,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
DB06288,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
DB11793,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12
DB15097,COc1cc(C(C)C)c(Oc2cnc(N)nc2N)cc1S(N)(=O)=O
