ID,SMILES
DB00122,C[N+](C)(C)CCO
DB00368,NC[C@H](O)c1ccc(O)c(O)c1
DB05381,NCCc1c[nH]cn1
DB00988,NCCc1ccc(O)c(O)c1
DB00501,CN/C(=N/C#N)NCCSCc1nc[nH]c1C
DB00457,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
DB00331,CN(C)C(=N)NC(=N)N
DB00668,CNC[C@H](O)c1ccc(O)c(O)c1
DB01043,CC12CC3CC(C)(C1)CC(N)(C3)C2
DB00413,CCCN[C@H]1CCc2nc(N)sc2C1
DB00206,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
DB08838,N=C(N)NCCCCN
DB00709,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1
DB12598,N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1
DB14006,C[N+](C)(C)CCO.O=C([O-])c1ccccc1O
DB08837,CC[N+](CC)(CC)CC
DB00863,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
DB01273,c1cnc2cc3c(cc2n1)C1CNCC3C1
DB06637,Nc1ccncc1
DB09343,N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl
DB00204,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
DB00915,NC12CC3CC(CC(C3)C1)C2
DB14754,NC(=O)OC[C@H](N)Cc1ccccc1
DB08882,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C
DB01018,N=C(N)NC(=O)Cc1c(Cl)cccc1Cl
DB00391,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
DB00871,CC(C)(C)NCC(O)c1cc(O)cc(O)c1
DB00960,CC(C)NCC(O)COc1cccc2[nH]ccc12
DB08893,Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1
DB00986,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1
DB00798,CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O
DB09076,OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCOCc3ccccc3)(CC1)CC2
